Gemeinde,0-4 Jahre,5-9 Jahre,10-14 Jahre,15-19 Jahre,20-24 Jahre,25-29 Jahre,30-34 Jahre,35-39 Jahre,40-44 Jahre,45-49 Jahre,50-54 Jahre,55-59 Jahre,60-64 Jahre,65-69 Jahre,70-74 Jahre,75-79 Jahre,80-84 Jahre,85-89 Jahre,90-94 Jahre,95-99 Jahre,100 Jahre und mehr,Kanton,Bezirk,Sprachregion
,Youth,Youth,Youth,Youth,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Aeugst am Albis,0.03937405350832913,0.05401312468450278,0.048965169106511865,0.05552751135790005,0.048965169106511865,0.03685007571933367,0.03785966683493185,0.06007067137809187,0.06915699141847552,0.0873296314992428,0.09035840484603735,0.10853104492680464,0.08278647147905098,0.05805148914689551,0.04644119131751641,0.039878849066128215,0.01867743563856638,0.01110550227158001,0.005552751135790005,0.0005047955577990914,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Affoltern am Albis,0.05665284889864261,0.04844346907258392,0.04511094854913436,0.05145086564252621,0.055514915061367145,0.07380313744615134,0.07713565796960091,0.07510363326018045,0.06413069982930993,0.06632528651548403,0.07583516215557182,0.06941396407380314,0.059416402503454445,0.04933755994472893,0.04405429570023572,0.036576444769568395,0.026253759245712428,0.017800536454523286,0.006502479070145493,0.0010566528488986425,8.128098837681866e-05,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Bonstetten,0.05150753768844221,0.061019382627422826,0.06909547738693467,0.05473797559224695,0.05025125628140704,0.04827709978463747,0.057430007178750894,0.0730437903804738,0.0780689160086145,0.08417085427135679,0.07986360373295047,0.07142857142857142,0.05581478822684853,0.04971284996410624,0.04558506819813352,0.034996410624551326,0.020997846374730796,0.010229720028715004,0.0030509691313711416,0.0005384063173007897,0.00017946877243359656,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Hausen am Albis,0.04585443881631565,0.05678485737136763,0.06451612903225806,0.05465209277525993,0.050386563583044525,0.03199146894161557,0.046387629965342576,0.06398293788323114,0.07331378299120235,0.08344441482271395,0.09224206878165822,0.08904292188749667,0.06744868035190615,0.051452945881098375,0.053585710477206075,0.038656358304452146,0.021327645961077047,0.011996800853105838,0.002665955745134631,0.00026659557451346307,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Hedingen,0.04552673372154579,0.05743779777660138,0.05320275277924828,0.06008470089994706,0.05902593965060879,0.05002646903123346,0.05505558496559026,0.0606140815246162,0.07331921651667549,0.07755426151402858,0.09528851244044469,0.08443620963472737,0.06114346214928534,0.05399682371625199,0.04790894653255691,0.032027527792482795,0.017204870301746954,0.01085230280571731,0.003970354685018529,0.0010587612493382743,0.00026469031233456857,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Kappel am Albis,0.06388206388206388,0.07616707616707617,0.06142506142506143,0.04832104832104832,0.043407043407043405,0.03521703521703522,0.054873054873054876,0.07371007371007371,0.095004095004095,0.095004095004095,0.09172809172809172,0.06797706797706797,0.054873054873054876,0.043407043407043405,0.04013104013104013,0.02620802620802621,0.015561015561015561,0.009828009828009828,0.002457002457002457,0.000819000819000819,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Knonau,0.06938603868797309,0.07148864592094197,0.05971404541631623,0.04289318755256518,0.05088309503784693,0.050462573591253154,0.05172413793103448,0.0815811606391926,0.0815811606391926,0.0727502102607233,0.08410428931875526,0.07737594617325484,0.059293523969722456,0.0407905803195963,0.040370058873002525,0.03406223717409588,0.014297729184188394,0.012195121951219513,0.0037846930193439865,0.001261564339781329,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Maschwanden,0.05891472868217054,0.06976744186046512,0.05271317829457364,0.03875968992248062,0.046511627906976744,0.037209302325581395,0.05581395348837209,0.06356589147286822,0.08217054263565891,0.05271317829457364,0.11937984496124031,0.09457364341085271,0.043410852713178294,0.05891472868217054,0.04806201550387597,0.031007751937984496,0.020155038759689922,0.015503875968992248,0.009302325581395349,0.0015503875968992248,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Mettmenstetten,0.06538461538461539,0.06288461538461539,0.052307692307692305,0.05038461538461538,0.053653846153846156,0.05384615384615385,0.056346153846153844,0.07096153846153846,0.06961538461538462,0.07192307692307692,0.08211538461538462,0.07346153846153847,0.06019230769230769,0.05576923076923077,0.05153846153846154,0.036153846153846154,0.017115384615384616,0.011346153846153846,0.004615384615384616,0.0003846153846153846,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Obfelden,0.06362524034259745,0.05855619646914875,0.05733263415486803,0.05628386645691313,0.05645866107323894,0.05768222338751967,0.0692186680650236,0.07184058730991086,0.0702674357629785,0.07481209578744975,0.0846005943016955,0.062401678028316726,0.04911728718755462,0.051739206432441884,0.04946687642020626,0.034259744799860166,0.016605488550952632,0.009963293130571578,0.0050690438734486976,0.0006991784653032686,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Ottenbach,0.04327666151468315,0.0571870170015456,0.04945904173106646,0.0517774343122102,0.04829984544049459,0.03941267387944358,0.04598145285935085,0.0606646058732612,0.06839258114374035,0.07650695517774343,0.089258114374034,0.07921174652241113,0.07689335394126738,0.080370942812983,0.0517774343122102,0.047527047913446675,0.019319938176197836,0.009659969088098918,0.00463678516228748,0.0003863987635239567,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Rifferswil,0.046058458813108945,0.07617360496014172,0.0912311780336581,0.05757307351638618,0.03100088573959256,0.03720106288751107,0.030115146147032774,0.06554472984942426,0.08680248007085917,0.08857395925597875,0.09388839681133747,0.07883082373782108,0.050487156775907885,0.05757307351638618,0.050487156775907885,0.026572187776793623,0.013286093888396812,0.008857395925597875,0.008857395925597875,0.0008857395925597874,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Stallikon,0.06364846870838882,0.06231691078561918,0.04474034620505992,0.04287616511318242,0.040745672436751,0.04340878828229028,0.06231691078561918,0.07270306258322237,0.08601864181091877,0.08894806924101198,0.08681757656458056,0.077762982689747,0.06498002663115846,0.05033288948069241,0.043941411451398134,0.03568575233022637,0.019973368841544607,0.009054593874833556,0.0037283621837549932,0.0,0.0,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Wettswil am Albis,0.05744274809160305,0.07099236641221374,0.055534351145038165,0.05076335877862596,0.03282442748091603,0.03759541984732825,0.04980916030534351,0.07919847328244274,0.08034351145038168,0.08645038167938932,0.07690839694656489,0.06908396946564886,0.05095419847328244,0.05,0.05362595419847328,0.044274809160305344,0.031106870229007634,0.01583969465648855,0.005916030534351145,0.0011450381679389313,0.00019083969465648855,Zürich,Bezirk Affoltern,Deutsches Sprachgebiet
Adlikon,0.05873925501432665,0.05873925501432665,0.06160458452722063,0.0329512893982808,0.03724928366762178,0.024355300859598854,0.07306590257879657,0.0830945558739255,0.0830945558739255,0.0673352435530086,0.07163323782234957,0.09312320916905444,0.0673352435530086,0.06017191977077364,0.05300859598853868,0.0329512893982808,0.02005730659025788,0.014326647564469915,0.0071633237822349575,0.0,0.0,Zürich,Bezirk Andelfingen,Deutsches Sprachgebiet
Benken (ZH),0.05562130177514793,0.046153846153846156,0.046153846153846156,0.05562130177514793,0.040236686390532544,0.06982248520710059,0.06745562130177515,0.04970414201183432,0.054437869822485205,0.07692307692307693,0.10532544378698225,0.10295857988165681,0.06745562130177515,0.05798816568047337,0.04142011834319527,0.02603550295857988,0.021301775147928994,0.010650887573964497,0.004733727810650888,0.0,0.0,Zürich,Bezirk Andelfingen,Deutsches Sprachgebiet
Berg am Irchel,0.03466204506065858,0.0415944540727903,0.038128249566724434,0.02772963604852686,0.05025996533795494,0.04679376083188908,0.058925476603119586,0.04679376083188908,0.06932409012131716,0.07279029462738301,0.09185441941074524,0.07625649913344887,0.10398613518197573,0.06412478336221837,0.07452339688041594,0.058925476603119586,0.02079722703639515,0.01559792027729636,0.005199306759098787,0.0017331022530329288,0.0,Zürich,Bezirk Andelfingen,Deutsches Sprachgebiet
Buch am Irchel,0.06332992849846783,0.06332992849846783,0.0602655771195097,0.059244126659857,0.03268641470888662,0.049029622063329927,0.07660878447395301,0.08478038815117467,0.0602655771195097,0.07967313585291114,0.07865168539325842,0.07048008171603677,0.06843718079673136,0.05209397344228805,0.043922369765066395,0.03677221654749745,0.010214504596527068,0.007150153217568948,0.0020429009193054137,0.0010214504596527069,0.0,Zürich,Bezirk Andelfingen,Deutsches Sprachgebiet
