Gemeinde,Kanton,Bezirk,Sprache,"Abstimmung 001","Abstimmung 002","Abstimmung 003","Abstimmung 004","Abstimmung 005"
,,,,Bundesgesetz,Volksinitiative,Volksinitiative,Volksinitiative,Obligatorisches Referendum
,,,,,,,,,
,,,,Staatsordnung,Aussenpolitik,Aussenpolitik,Landwirtschaft,Aussenpolitik
,,,,Rechtsordnung,Europapolitik,Europapolitik,Agrarpolitik,Internationale Organisationen
,,,,Privatrecht,EU,EFTA,,UNO
,,,,,,,,,
AG-Ausland-CH,Aargau,AG-Ausland-CH,Deutsch,41.03,41.08,41.11,32.73,40.32
AI-Ausland-CH,Appenzell Innerrhoden,AI-Ausland-CH,Deutsch,36.86,38.14,38.14,31.75,34.52
Aadorf,Thurgau,Bezirk Mï¿½nchwilen,41.22,Deutsch,40.82,41.59,25.91,53.77
Aarau,Aargau,Bezirk Aarau,Deutsch,44.69,43.65,44.37,38.66,57.26
Aarberg,Bern / Berne,Verwaltungskreis Seeland,Italienisch,41.55,41.55,41.55,32.62,58.84
Aarburg,Aargau,Bezirk Zofingen,Deutsch,36.18,35.54,36.03,25.78,46.46
Aarwangen,Bern / Berne,Verwaltungskreis Oberaargau,Französisch,44.5,44.5,44.5,36.8,54.26
Abtwil,Aargau,Bezirk Muri,Französisch,44.48,43.59,44.66,30.63,52.41
Aclens,Vaud,District de Morges,Französisch,68.21,67.5,67.86,48.21,57.84
Acquarossa,Ticino,Distretto di Blenio,Italienisch,34.19,34.19,34.19,25.58,35.2
Adelboden,Bern / Berne,Verwaltungskreis Frutigen-Niedersimmental,Italienisch,41.2,41.2,41.2,32.08,55.39
Adligenswil,Luzern,Wahlkreis Luzern-Land,Deutsch,50.61,50.14,50.61,38.88,65.03
Adliswil,Zï¿½rich,Bezirk Horgen,Deutsch,44.03,43.44,43.99,32.64,54.99
Aedermannsdorf,Solothurn,Bezirk Thal,Deutsch,51.83,51.83,51.83,51.22,57.11
